Name,Meaning in English,Source Name,Gender,Source
Nochhuetl,Seems to be related to nochtli cactus fig,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Nochtli,Prickly pear fruit,Baby Names,female,https://www.momjunction.com/baby-names/aztec/girl/
Nopaltzin,,Wikipedia,male,https://en.wikipedia.org/wiki/Acolmiztli_(Coatl_Ichan)
Ocotlan,Pine,Baby Names,male,https://www.momjunction.com/baby-names/aztec/boy/
Ocoxochi,pine flower,Blog,female,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Ohtli,A person who is a champion. Also refereed to the son of Neil.,Baby Names,unisex,https://www.momjunction.com/baby-names/aztec/girl/
Ollacatl,rubber man,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Olopatzicatl,olotl is the hard core of the corn cob,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Omacatl,,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Ozoma,monkey,Blog,unisex,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Pachxochitzin,,Wikipedia,female,https://en.wikipedia.org/wiki/Acolmiztli_(Coatl_Ichan)
Pacoatl,medicine snake,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Pancoz,yellow banner,Blog,unisex,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Pantli	,banner,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Papanton,little banner,Blog,female,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Patlea,Medicine,Baby Names,male,https://www.momjunction.com/baby-names/aztec/boy/
Patlee,Medicine,Baby Names,male,https://www.momjunction.com/baby-names/aztec/boy/
Patli,Medicine,Baby Names,female,https://www.momjunction.com/baby-names/aztec/girl/
Pihuiyol,,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Popocatl,smoke person,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Poton,he stinks (interpreted as abbreviation of potonqui),Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Pozon,boiled one,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Quahuitl,tree,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Qualchamitl,,Blog,unisex,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Quaquauh,horn,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Quauhquimichin,,Blog,unisex,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Quauhtemoc,he descended eagle-like,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Quauhtlapochin,,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Quauhtlehuanitzin,Rising Eagle,Wikipedia,male,https://en.wikipedia.org/wiki/Chimalpahin
Quauhtli,eagle maybe a day-sign name,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Quauhtliztac,white eagle,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Quecholtecpantzin,,Wikipedia,male,https://en.wikipedia.org/wiki/Acolmiztli_(Coatl_Ichan)
Quenmachoc,,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Quennel,like truth,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Quetzal,precious plume,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Quetzalli,A large beautiful feather,Baby Names,female,https://www.momjunction.com/baby-names/aztec/girl/
Quiachton,,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Quiauh,"rain, maybe a day-sign name, probably male",Blog,unisex,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Quiauhtzin,,Wikipedia,male,https://en.wikipedia.org/wiki/Acolmiztli_(Coatl_Ichan)
Tayanna,Aztec name meaning suray,Baby Names,female,https://www.momjunction.com/baby-names/aztec/girl/
Tecapan,,Blog,female,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Techotlalatzin,,Wikipedia,male,https://en.wikipedia.org/wiki/List_of_Tetzcoco_rulers
Tecocoa,he hurts people,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Tecocol,someone's anger,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Tecocoltzin,,Wikipedia,male,https://en.wikipedia.org/wiki/List_of_Tetzcoco_rulers
Tecolotl,owl,Blog,unisex,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Tecuizolli,,Blog,unisex,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Tehuetzquititzin,"Son of Tezcatl Popocatzin, a son of Tizoc. Installed by the Spanish colonial authorities.",Wikipedia,male,https://en.wikipedia.org/wiki/List_of_Tenochtitlan_rulers
Teichpoch,someone's daughter,Blog,female,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Teicuh,someone's sister,Blog,female,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Teicuhton,little older sister,Blog,female,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Teicuih,Younger sister,Baby Names,female,https://www.momjunction.com/baby-names/aztec/girl/
Teiuc,Second-born,Baby Names,female,https://www.momjunction.com/baby-names/aztec/girl/
Telpoch,young man,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Tematl,,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Tematlalehua,she bruises people,Blog,female,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Temilo,passive form,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Temoc,,Blog,unisex,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Tenahuac,close to someone,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Tenan,I think this is most likely an abbreviation of tenamitl fortification,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Tenicahuehue,,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Tenoch,stone cactus,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Tepeyacan,mountain leader,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
