mythicalCreature,mythicalCreatureLabel,mythicalCreatureDescription
http://www.wikidata.org/entity/Q106403886,Sinoe,"nymph of Greek mythology, nurse of Pan"
http://www.wikidata.org/entity/Q106407291,Joshua,character from Adventure Time
http://www.wikidata.org/entity/Q106407368,Margaret,character from Adventure Time
http://www.wikidata.org/entity/Q106407389,Jermaine,character from Adventure Time
http://www.wikidata.org/entity/Q106437094,Oenoe (nymph),"Arcadian nymph, nurse of Zeus"
http://www.wikidata.org/entity/Q1064930,Uras,sumerian goddess
http://www.wikidata.org/entity/Q106515828,Nais (nymph),character in Greek myth
http://www.wikidata.org/entity/Q106519417,Oreius the centaur,centaur defeated by Heracles
http://www.wikidata.org/entity/Q106519982,Rahzar,fictional character in the 1987–1996 Teenage Mutant Ninja Turtles animated television series
http://www.wikidata.org/entity/Q106522384,Thurius,giant fought by Heracles in Greek mythology
http://www.wikidata.org/entity/Q106572335,Rahzar,fictional character in the 1989–1993 Teenage Mutant Ninja Turtles video game series
http://www.wikidata.org/entity/Q106580651,Chris Bradford,fictional character in the 2012–Teenage Mutant Ninja Turtles video game series
http://www.wikidata.org/entity/Q106600805,Cithaeronidae,mythical nymphs of Mt. Cithaeron in Boeotia
http://www.wikidata.org/entity/Q106620096,Ianthe (mythology),"one of the Oceanids, daughter of Oceanus and Tethys"
http://www.wikidata.org/entity/Q1066682,Yurlungur,mythological serpent
http://www.wikidata.org/entity/Q106670021,Polynoe,one of the Nereids
http://www.wikidata.org/entity/Q106670022,Protomedeia,one of the Nereids
http://www.wikidata.org/entity/Q106675217,Tomtormar,snokar som var del av nordisk folktro
http://www.wikidata.org/entity/Q106676348,Deogen,evil spirit that haunts the Sonian Forest
http://www.wikidata.org/entity/Q106696023,Sao,
http://www.wikidata.org/entity/Q106696397,Ithome,"nymph in Greek mythology, nurse of Zeus"
http://www.wikidata.org/entity/Q106697932,Plonek,fictional ethnic group from Dreadfully Titled Movie
http://www.wikidata.org/entity/Q106714182,Nakiri Ayame,Japanese virtual YouTuber
http://www.wikidata.org/entity/Q106766698,Mr. Fox,fictional character from Adventure Time
http://www.wikidata.org/entity/Q106774674,7718,character from Adventure Time
http://www.wikidata.org/entity/Q106807046,La Dame du lac,personnage de série télévisée
http://www.wikidata.org/entity/Q10686799,Syceus,mythological giant
http://www.wikidata.org/entity/Q1069028,Ramiel,"personnage religieux, archange"
http://www.wikidata.org/entity/Q1069104,Chelone,character in Greek mythology
http://www.wikidata.org/entity/Q106963795,Cinosura,нимфа из древнегреческой мифологии
http://www.wikidata.org/entity/Q10696861,Thisbe,"character in Greek mythology, lover of Pyramus"
http://www.wikidata.org/entity/Q106977856,Hopduvel,devil figure
http://www.wikidata.org/entity/Q107092103,Sea Swine,Mythical creature
http://www.wikidata.org/entity/Q107107253,Sulpitia,nymph
http://www.wikidata.org/entity/Q107207821,white horse of James the Great,legendary horse
http://www.wikidata.org/entity/Q1072310,Mulch Diggums,fictional character
http://www.wikidata.org/entity/Q1072455,White Tiger,one of the Four Symbols of Chinese mythology; represents the west and the autumn season
http://www.wikidata.org/entity/Q1072517,Zhulong,mythological serpent
http://www.wikidata.org/entity/Q107289451,Q107289451,
http://www.wikidata.org/entity/Q1072924,Tsuchinoko,mythological serpent
http://www.wikidata.org/entity/Q107313059,Messeis,nymph of a spring
http://www.wikidata.org/entity/Q107315219,Sithnid nymphs,"nymphs native to Megara, Greece"
http://www.wikidata.org/entity/Q107332929,Nysa,"nymph, one of the Nysiads"
http://www.wikidata.org/entity/Q1073978,Basan,fictional bird
http://www.wikidata.org/entity/Q1074481,Chios,water deity in Greek mythology
http://www.wikidata.org/entity/Q10748392,Dogbert,fictional character in the Dilbert comic strip
http://www.wikidata.org/entity/Q107508959,Samadon Ayangba,Flying winged horse in ancient Meitei Manipuri mythology and religion
http://www.wikidata.org/entity/Q1075258,Chloris,Greek nymph
http://www.wikidata.org/entity/Q107552580,Latreus,in der klassischen Mythologie ein Kentaur
http://www.wikidata.org/entity/Q107616857,São Gabriel,Santo padroeiro das telecomunicações
http://www.wikidata.org/entity/Q107618618,Ganyu,playable character in Genshin Impact
http://www.wikidata.org/entity/Q1076283,Storsjöodjuret,Swedish folklore lake monster
http://www.wikidata.org/entity/Q1077666,Fachen,
http://www.wikidata.org/entity/Q1077710,Shen,creature from Chinese mythology
http://www.wikidata.org/entity/Q107785,Amalthea,Oceanid of Greek mythology
http://www.wikidata.org/entity/Q1078370,Zetton,ウルトラシリーズの登場キャラクター（ウルトラ怪獣）
http://www.wikidata.org/entity/Q1078508,Pif,comic character
http://www.wikidata.org/entity/Q108000838,Pir,mythological figure in Turkish mythology
http://www.wikidata.org/entity/Q108044918,Schlabbinchen,Swabian cartoon character
http://www.wikidata.org/entity/Q108086850,Lai Khutsangbi,A long handed  demoness in Meitei folklore of Ancient Manipur (Kangleipak)
http://www.wikidata.org/entity/Q108220511,IRyS,English-language virtual YouTuber
http://www.wikidata.org/entity/Q108307330,Si,Chinese legendary creature
http://www.wikidata.org/entity/Q10836901,Yamawaro,mountain dwelling spirit in Japanese folklore
http://www.wikidata.org/entity/Q108419,Rhea,"female Titan in Greek mythology, mother of Zeus and mother of Hera"
http://www.wikidata.org/entity/Q108440224,Amru bin Jabir Al-Jinni,One of the companions of the jinn.
http://www.wikidata.org/entity/Q1084671,shiranui,"atmospheric ""ghost light"" told about in Kyushu"
http://www.wikidata.org/entity/Q10854746,Coronis,Hyade
http://www.wikidata.org/entity/Q108565010,Groot and Rocket Raccoon,comic book and movie characters
http://www.wikidata.org/entity/Q1086222,Horned Serpent,A mythological serpent told of in Southeastern Native American comminities
http://www.wikidata.org/entity/Q108636,Easter Bunny,folkloric figure and symbol of Easter
http://www.wikidata.org/entity/Q108653673,Eithné,fictional character from the Witcher series
http://www.wikidata.org/entity/Q10866915,三足龟,
http://www.wikidata.org/entity/Q108680287,Sunny Starscout,
http://www.wikidata.org/entity/Q10868990,地狼,
http://www.wikidata.org/entity/Q10877378,丹虾,
http://www.wikidata.org/entity/Q1088083,Karkadann,mythical creature said to have lived on the grassy plains of India and Persia.
http://www.wikidata.org/entity/Q1088464,Chrysas,Flussgott der griechischen Mythologie
http://www.wikidata.org/entity/Q1088867,Chrysomallos,"bélier ailé à la toison d'or, créature de la mythologie grecque"
http://www.wikidata.org/entity/Q10889239,傒囊,中國傳說妖怪
http://www.wikidata.org/entity/Q10889265,傲因,
http://www.wikidata.org/entity/Q1088980,Chthonius,Centaur in Greek mythology
http://www.wikidata.org/entity/Q108911629,Boo-Boo Bear,Fictional bear of the 2010 film Yogi Bear
http://www.wikidata.org/entity/Q10891520,全國五州媽祖大會香,
http://www.wikidata.org/entity/Q1089259,Jiutou Zhiji Jing,yaoguai
http://www.wikidata.org/entity/Q10893277,六房天上聖母,
http://www.wikidata.org/entity/Q10895288,Yangong,Chinese deity
http://www.wikidata.org/entity/Q1089680,Oannes,water deity
http://www.wikidata.org/entity/Q10901834,化蛇,
http://www.wikidata.org/entity/Q10908474,南海蝴蝶,
http://www.wikidata.org/entity/Q10912720,Makuragaeshi,
http://www.wikidata.org/entity/Q10913525,古籠火,
http://www.wikidata.org/entity/Q10915445,台灣媽祖信仰,
http://www.wikidata.org/entity/Q10918482,君手摩,
http://www.wikidata.org/entity/Q109199668,Baak,mythical creature of Assamese folklore
http://www.wikidata.org/entity/Q109211222,Rap Bear,character from Adventure Time
http://www.wikidata.org/entity/Q109211668,Son of Rap Bear,character from Adventure Time
http://www.wikidata.org/entity/Q1092593,Longana,aquatic creature in Italian regional folklore
http://www.wikidata.org/entity/Q10927868,土螻,
http://www.wikidata.org/entity/Q10931176,塵塚怪王,
http://www.wikidata.org/entity/Q109354339,Gration,
http://www.wikidata.org/entity/Q10938781,天上聖母媽祖,
http://www.wikidata.org/entity/Q10939056,天井嘗,
http://www.wikidata.org/entity/Q10940304,天津皇会,
